	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
219150	1562	1665	1676	1511	1586	1670
13666	827	826	866	748	724	756
142688	195	164	172	204	192	211
100502680	0	0	0	0	0	0
52028	77	92	73	67	50	66
246293	105	109	99	112	111	127
217207	947	1059	1016	956	945	908
67525	125	142	130	138	143	123
54638	738	827	849	840	819	710
434215	111	47	91	108	82	105
74376	2	0	5	1	0	0
108888	372	491	453	493	459	466
228592	15	27	15	12	14	9
12798	687	861	776	700	731	614
66271	392	503	469	342	384	413
66454	118	167	145	142	137	149
16590	14	5	8	6	1	12
56554	207	492	288	146	189	175
213452	949	892	870	756	797	803
19092	2	0	1	1	1	0
229898	76	40	60	48	47	66
72946	796	839	877	859	800	737
19720	864	965	946	921	851	805
433070	0	0	0	0	0	0
66212	963	970	959	902	931	937
238276	1	0	1	0	1	0
93670	0	1	0	0	0	0
73230	0	1	1	0	0	0
57390	0	2	0	0	0	0
74477	233	268	240	230	239	225
14729	7	4	15	9	4	5
66586	393	350	357	434	414	403
16410	2421	2498	2182	1569	1613	1674
224530	2	5	2	1	1	7
11648	0	0	0	1	0	0
239083	0	0	0	1	0	0
14610	0	0	0	0	0	0
100043772	105	109	74	56	80	73
626848	375	329	309	260	239	292
101055745	3	0	0	0	0	0
52055	3901	3185	3784	2791	2654	2804
18647	1919	1847	1764	1975	1919	2091
118567384	38	73	54	51	60	39
20962	0	0	1	0	0	0
72486	202	240	204	174	195	164
242286	0	0	0	0	0	0
99982	1077	1143	1165	968	998	952
27275	412	430	400	385	390	400
231050	557	555	515	584	540	602
626391	99	83	100	63	88	64
245305	251	251	193	177	174	185
235132	486	428	476	410	464	465
54201	176	163	198	180	134	144
382252	166	180	185	111	120	142
238393	0	0	1	1	0	1
11798	1947	1673	1495	1370	1424	1549
230753	3816	4061	4008	3349	3419	3363
20873	543	803	640	447	486	478
109254	0	0	0	1	0	1
70549	7	9	7	10	8	6
383619	1120	914	889	847	865	891
216971	416	487	481	527	462	465
66241	433	408	474	418	445	405
72948	7	10	7	3	3	0
21881	10343	10471	11715	12768	12074	11778
257632	228	166	183	200	150	175
66230	100	186	150	138	168	130
11651	5072	5980	5865	5690	5555	5281
19727	222	213	240	205	196	226
192156	942	850	1034	1412	1299	1250
74011	62	56	54	39	62	48
432555	729	429	584	491	550	554
64051	59	47	45	54	38	35
27274	2	1	2	1	1	2
327987	1493	1301	1223	1164	1228	1225
19165	1309	1248	1408	1523	1437	1432
71367	0	2	0	0	0	0
14419	0	1	2	0	0	0
12028	1569	1838	2007	1905	1791	1608
216616	0	0	0	0	0	0
72123	1212	1005	1139	994	940	928
210009	304	375	343	393	377	402
434223	391	313	317	204	203	196
57753	311	335	282	288	363	383
20983	0	0	0	0	0	0
13661	1	0	2	0	0	0
269682	1030	1003	940	936	979	987
22355	2	10	5	6	7	7
20716	0	0	0	0	0	0
320802	1	2	3	1	3	4
100041194	1910	1811	2080	1829	1747	1702
71131	64	64	59	60	59	65
214951	17	15	24	19	23	17
66129	780	678	683	659	630	720
16527	0	0	0	0	0	0
12262	30853	24357	29334	33753	31189	33041
319185	0	0	0	0	0	0
22227	1	1	0	0	2	0
19252	671	651	705	748	790	802
320022	1	0	0	0	0	0
68001	120	193	162	158	145	139
666331	0	0	0	1	0	0
208151	1	1	1	2	0	0
74012	4761	4637	4854	4053	4120	4166
108089	23	16	13	17	14	12
272009	0	0	0	0	0	0
50875	2251	2236	2128	1863	2079	2007
16716	0	0	0	0	0	0
66962	79	95	88	105	94	88
58520	657	669	609	540	615	566
100504491	23	15	15	13	21	16
317652	0	0	0	0	1	0
98682	1417	1771	1482	1060	1290	1254
12565	0	0	0	0	0	3
246228	0	3	3	5	2	1
320997	4	0	4	2	3	1
224860	795	784	808	707	715	729
67704	924	1156	1042	949	905	860
14065	2	1	2	2	5	6
232174	3	4	6	6	6	7
70350	3418	4263	3879	3712	4278	3723
13196	3025	3418	3377	2588	2717	2566
268752	4690	4387	4290	3852	3923	4045
213011	57	43	60	43	63	59
217666	120	140	108	120	131	108
434341	795	806	794	738	638	731
230597	94	110	122	118	121	131
320091	0	0	0	0	0	0
330188	7	8	5	4	4	4
102657	775	1224	978	551	571	507
241732	219	204	214	249	227	241
68612	1533	2292	1850	1256	1336	1166
13589	3333	3628	3304	3074	3289	3330
228026	1863	2764	2120	2342	2471	2390
211151	342	360	354	401	388	331
114128	105	130	110	187	187	166
434050	0	0	0	0	0	0
319262	237	232	249	214	236	236
74018	617	570	539	616	623	602
66404	2978	2773	3094	3043	2842	2866
56274	612	609	484	502	541	527
269966	1355	1511	1440	1323	1271	1299
75799	0	0	0	0	0	0
100038657	0	0	0	0	0	0
26367	0	0	3	0	4	0
238333	5	5	5	2	7	4
140497	4268	3606	3949	4369	4320	4534
23983	3914	4383	4547	4178	3926	3664
100502950	1	0	0	0	1	0
217154	357	322	349	301	290	294
67636	389	319	339	345	379	387
75219	138	162	160	118	130	121
320181	8	10	6	6	4	1
66496	444	491	538	511	477	426
11754	1	0	0	1	1	3
208117	397	361	349	312	337	319
66044	113	113	129	115	134	132
68259	300	283	255	183	233	211
380629	1096	846	826	719	728	782
17022	0	0	0	1	0	1
100041062	0	0	0	0	0	0
75785	1795	1004	1384	1244	1167	1416
232431	5	4	3	5	4	6
13603	83	80	77	76	78	69
67690	0	0	0	0	0	1
104099	320	341	406	436	480	477
242851	4	2	8	5	2	2
627626	0	0	0	0	0	0
224648	576	640	627	845	897	831
12983	5316	4261	5298	5837	5679	5749
57248	9	1	3	7	7	6
238405	0	0	0	1	0	0
227615	159	210	187	202	196	164
103284	309	347	348	345	319	307
224703	773	897	940	775	757	831
321019	1015	1047	1095	735	765	663
78655	1218	1317	1070	1004	1163	1228
243983	506	528	474	501	566	527
19683	0	0	0	0	2	0
72999	670	596	657	659	694	666
12334	5694	7347	6374	4796	5056	4869
78267	34	28	41	45	39	48
51813	519	541	449	417	437	450
27403	1106	1289	1334	1156	1085	1046
74359	107	100	90	82	98	93
74256	1259	1133	1081	959	992	1013
252875	287	270	260	258	276	288
78593	0	0	0	0	3	0
56360	974	948	911	908	982	992
224697	633	650	735	674	575	670
241118	0	0	0	0	0	0
70747	37	30	41	21	22	15
18595	1	1	2	3	0	2
70527	566	531	539	491	570	559
11615	0	0	9	0	0	0
102632660	2	6	4	2	0	2
235431	57	52	59	15	17	14
100503353	255	169	156	159	166	180
69129	56	77	60	66	69	50
414872	1191	1149	1093	1041	1092	1109
67197	633	614	594	561	607	555
67367	809	746	737	678	797	820
216527	820	843	883	809	826	758
227746	253	305	252	234	237	233
27398	527	639	669	613	581	566
227059	647	580	580	500	553	552
74490	0	2	1	0	0	1
18577	365	336	334	374	349	320
100043332	19	34	32	17	19	19
29861	5	18	8	6	7	4
14758	0	2	5	3	1	2
228875	937	1040	1166	1103	1046	1008
11964	12001	11178	11333	11872	12071	12309
224105	3732	3609	3302	3100	3288	3380
382073	129	135	145	131	136	113
115490131	18	15	20	34	34	32
384059	2	1	1	2	1	2
67991	946	806	917	895	897	910
319670	31	39	30	38	33	34
239647	127	192	150	121	139	98
68026	1662	2252	1680	1141	1269	1130
30841	934	941	980	906	881	885
666790	6	3	7	8	7	14
100042295	0	0	0	0	0	0
212937	3280	2384	3177	2514	2575	2646
56367	729	924	669	475	633	540
320795	4611	4484	5240	5201	4698	4862
21402	2302	2191	2127	1655	2035	1966
16834	528	566	670	650	606	567
654818	10	11	13	5	2	9
383348	0	0	1	0	0	0
58237	0	0	0	0	0	0
72821	1	0	0	0	0	1
279653	1	1	1	0	0	0
320534	1643	1929	1969	2208	2131	1971
67466	1036	1092	934	833	919	927
22409	0	0	0	0	0	0
66482	1230	1222	1128	1127	1185	1133
67706	506	514	538	477	483	484
171580	1633	1736	1743	1611	1482	1475
54194	513	413	521	568	513	614
380855	158	130	120	123	112	121
503610	1017	1057	1124	1040	1030	940
216131	1438	1663	1573	1462	1556	1425
109731	5	3	2	1	8	2
71941	192	230	189	217	205	189
17219	3424	5245	4269	3495	3529	3207
69126	611	590	429	404	509	482
226041	45	32	38	39	32	42
69481	0	0	0	0	0	0
20196	660	621	567	532	453	510
19328	1057	1035	1036	972	1124	1087
18348	0	0	0	0	0	1
18007	56	53	41	64	59	51
110789	1	4	1	3	3	4
107885	435	524	440	410	499	397
78767	139	182	153	118	127	91
12229	1847	1915	1820	1692	1724	1795
77305	1236	1346	1322	1206	1246	1277
232035	0	0	0	0	0	0
18491	1	0	0	1	0	0
434204	245	240	262	219	222	227
76974	0	0	0	0	0	0
22289	1004	989	905	850	898	947
209239	60	80	72	54	56	62
246229	336	390	326	281	295	310
11595	0	0	0	0	0	0
622307	0	1	1	0	0	0
320974	0	0	0	0	0	0
67238	197	286	262	281	294	284
67207	234	260	225	221	269	217
13383	876	901	787	737	819	800
16623	7	4	4	3	6	4
101502	1200	1178	1202	1355	1223	1297
118568335	23	42	28	30	26	20
83946	1289	1160	997	753	772	818
751864	5	2	0	1	1	0
71684	560	583	563	481	465	464
69852	0	0	0	0	0	0
56043	561	635	556	484	508	544
17350	195	279	256	238	224	223
67020	4	1	6	3	4	4
27410	2111	2195	2425	2233	2015	2114
74035	501	617	571	602	543	552
13038	306	401	363	333	327	284
107939	743	918	914	813	790	843
56809	311	360	368	334	321	307
243862	0	0	0	0	0	0
12821	0	0	0	0	0	0
77569	1	0	0	2	0	0
97484	440	452	553	519	496	461
72361	0	0	0	0	0	0
66972	274	316	341	350	338	325
70439	1989	2274	1983	1685	1916	1814
67534	390	472	410	408	379	397
15242	962	987	927	777	767	771
13593	0	0	0	0	0	0
56187	372	383	425	467	410	430
20022	582	694	673	622	587	501
216976	8	1	4	6	6	2
208748	1	0	0	0	0	0
20661	2293	2403	2411	1738	1730	1743
12909	382	421	392	402	338	366
78923	5	7	4	2	5	5
69277	220	187	207	138	140	184
57258	558	567	511	476	457	496
30056	129	177	144	158	147	158
17684	1500	1352	1736	1391	1345	1259
226169	599	721	677	686	648	657
241289	10	18	11	15	17	10
22248	659	713	816	786	719	719
242603	0	0	0	0	0	0
75772	0	0	0	0	0	0
16149	6187	2428	5033	7184	5927	7019
67914	401	456	469	493	497	442
20163	2266	2483	2478	2340	2336	2333
70604	851	726	799	827	853	812
99662	1	0	0	0	0	0
84505	1648	1695	1612	1485	1517	1509
76668	0	0	0	1	0	0
229877	2946	3065	3133	2871	3054	3013
13641	67	56	67	60	45	50
66787	532	503	546	554	488	531
63955	25	24	28	34	30	25
68051	917	1363	1318	1251	1213	1085
76375	173	211	179	200	197	208
626316	0	0	0	0	0	0
268949	0	0	0	1	0	0
218544	84	97	80	82	83	87
494124	0	0	0	0	0	0
76088	5159	5392	5357	5624	5450	5507
67956	1206	1550	1312	1265	1419	1358
27219	0	0	0	0	0	0
109637	1	2	4	3	2	1
271711	0	0	0	0	1	0
110891	1	0	0	3	0	2
63873	316	312	370	354	373	384
231151	293	283	292	296	324	325
11475	35	42	57	26	44	39
100503240	0	0	0	0	0	0
19354	5718	5397	6066	7666	7168	6956
102637806	1	0	2	0	0	0
381921	1231	1388	1397	1254	1144	1224
16772	1	0	0	0	0	1
333315	0	0	0	0	0	0
69104	1179	1272	1263	1256	1355	1256
30945	877	868	942	764	729	768
226421	6218	5685	6003	6761	6753	6697
75612	9363	9008	9539	10624	10533	10142
231858	1	0	3	0	0	0
328019	0	0	0	1	0	1
319455	3	6	1	7	7	6
68566	0	0	0	0	3	0
74407	2	3	2	3	5	2
18761	5	5	5	4	0	6
226182	195	192	183	153	150	151
18994	0	0	0	0	0	0
16561	1517	1524	1418	1444	1598	1649
26920	648	745	667	533	605	532
22364	0	0	0	0	0	0
56524	1496	1719	1518	1179	1392	1269
67223	195	269	229	196	206	206
234839	3695	4963	4713	5249	5021	4788
14359	2304	2129	2100	1748	1921	1924
218490	5296	5061	5447	4762	5110	4830
105242404	0	0	0	0	0	0
22145	908	1416	1109	1073	1007	982
66890	3867	4211	4339	4085	4174	4133
140482	328	319	392	352	333	352
78100	762	745	733	694	692	697
68106	214	279	262	247	265	242
380916	543	559	531	503	503	526
18483	185	204	200	156	169	130
17535	628	715	589	534	596	512
109900	824	909	899	959	919	873
286940	561	690	689	622	616	553
56844	387	455	414	416	369	356
225638	1	1	0	1	1	1
171286	0	1	0	0	1	0
230577	95	132	156	108	125	101
338363	235	224	208	256	243	203
105244498	2	3	2	1	3	1
245525	0	0	0	0	0	0
54131	581	578	613	562	544	533
18782	0	0	0	0	0	0
69940	1103	1208	1072	975	1002	983
22367	689	904	767	582	587	604
76571	2	1	1	1	3	4
66993	2	0	5	0	0	1
23825	1106	1443	1305	1029	1085	905
109658	1465	1541	1584	1419	1366	1452
258812	0	0	0	0	0	0
76479	845	819	785	641	839	766
56351	2307	2714	2159	1870	2180	2128
70024	480	725	570	417	387	373
67863	2301	2346	2569	2469	2336	2393
432999	56	52	67	64	56	55
229363	1097	1223	984	908	1039	942
103841	227	460	353	272	306	247
67936	321	394	378	381	369	352
76041	164	150	154	138	121	113
110213	11767	11409	13136	13117	12115	12105
70152	1030	1061	1119	985	990	963
80749	67	58	50	44	41	40
381438	459	355	261	259	245	475
118568416	46	36	34	42	33	32
19045	6715	7345	7250	6627	6473	6259
277010	796	795	854	778	702	688
234069	573	635	634	624	607	599
22376	2043	1867	2166	2005	1918	1876
68737	77	119	90	113	110	81
56190	179	223	263	234	194	188
26432	62	104	102	82	87	82
673094	20	21	16	9	11	9
21771	407	488	467	501	521	491
74776	325	380	331	314	370	296
56516	981	919	1038	938	917	937
71481	940	844	872	840	824	936
226251	4	9	6	3	5	4
77371	516	511	451	457	512	501
59014	326	427	435	445	437	416
50926	2740	2994	2656	2266	2507	2519
12371	1167	1104	1138	1284	1186	1203
66821	212	208	197	242	237	215
668310	0	1	0	1	0	1
77505	60	72	70	70	65	77
68126	124	116	130	136	161	161
666528	17	11	16	15	16	10
239743	879	706	769	577	558	549
18008	337	505	381	507	555	571
56464	291	166	245	308	262	254
107895	1200	1430	1256	1371	1370	1305
230234	284	356	320	306	324	322
13858	2914	2685	2571	2170	2344	2290
109359	1263	1228	1245	1169	1163	1153
101533	0	0	0	0	0	0
235040	249	288	307	287	267	272
24102	0	0	0	0	0	0
16523	0	1	0	0	0	1
67763	601	639	692	653	660	628
12862	11	16	11	33	44	34
66180	5	4	4	4	5	4
56790	837	903	899	786	885	909
12387	6560	7179	7192	7328	7080	6960
68475	612	738	713	581	591	545
110794	21	34	30	13	15	21
60599	1020	614	785	710	725	799
268515	169	145	199	179	107	127
12799	820	775	772	883	766	750
18193	2402	2391	2454	2092	2206	2249
108168145	1	1	1	2	1	1
14583	752	740	670	840	945	891
20317	40	21	31	48	30	54
15505	625	638	589	808	867	884
67978	3	6	4	5	4	8
20856	3	4	4	1	4	4
282619	75	59	67	63	70	73
23948	8	5	5	1	5	5
66627	265	280	260	292	260	227
12380	3130	3271	2886	2388	2507	2557
15161	2891	3386	3372	2761	2835	2726
16796	9134	9512	9828	10969	10516	10223
268807	1	0	0	1	2	3
232164	540	581	516	497	564	497
382231	0	0	0	0	0	0
101056029	67	51	24	28	28	34
574418	7	4	1	1	2	5
215900	43	17	54	116	93	123
81845	246	235	265	217	230	224
75619	276	317	282	309	311	302
64424	108	153	138	125	160	142
50887	456	629	465	263	325	256
213439	0	1	0	0	2	0
105244831	0	0	0	0	0	0
17920	15	26	14	10	37	17
381668	436	493	541	502	435	491
17069	20450	19177	21222	18721	17784	17786
231532	266	411	321	242	266	234
104418	3752	4243	4471	4443	4018	3961
11848	12135	13753	12367	11175	11634	11302
59092	275	304	329	311	287	217
76872	1	5	6	8	4	3
15199	842	701	761	912	892	877
654470	282	286	320	268	238	244
78560	4	2	2	3	3	2
67383	512	538	444	416	490	459
19663	37	32	39	57	61	67
100043125	287	278	256	291	316	304
74470	118	146	120	107	114	100
114873	1	0	0	0	0	0
22390	461	729	547	451	462	436
22759	206	182	138	89	122	125
30937	0	0	0	0	1	1
104318	3327	3365	3638	3576	3313	3471
22003	1469	1347	1429	1281	1362	1333
17868	17	10	7	15	25	27
100502698	1144	1263	1260	1138	1069	1054
58172	801	752	690	699	762	750
94217	0	0	0	0	0	0
18038	213	227	251	233	212	212
66308	249	274	290	237	245	237
66912	431	547	472	516	531	502
104303	2779	2721	2391	2177	2386	2424
98685	594	623	627	506	605	543
67784	5064	4832	5463	4829	4599	4514
66887	779	829	832	795	792	790
22184	454	397	423	391	375	361
66442	683	911	684	442	530	434
238673	684	843	617	515	571	532
18552	0	0	0	0	0	0
100039815	5	3	4	5	7	7
56294	1195	1152	1190	1023	1037	1055
106344	241	343	293	247	243	195
434179	113	70	68	58	44	76
21899	516	468	507	461	485	495
102633888	0	0	0	0	0	0
17237	2216	2454	2641	2772	2505	2552
74666	15	11	15	13	16	18
30955	3035	3220	3057	2371	2286	2328
67712	1420	1383	1248	1069	1197	1160
381801	1118	1317	1262	1351	1217	1199
100737	125	83	142	128	164	152
57875	59	76	49	73	53	68
12557	0	0	1	0	0	0
12560	1	0	0	0	1	0
16005	0	0	0	0	0	0
56529	1283	1393	1248	1202	1162	1212
53897	1	0	0	0	1	0
109075	247	261	273	315	276	257
241915	1007	883	842	845	864	876
216197	1638	1881	1795	1423	1419	1424
15559	90	174	130	153	177	159
67582	97	124	112	140	113	122
106957	1185	1335	1272	1397	1420	1302
13488	0	1	0	0	1	0
22697	360	331	332	322	313	309
12468	2851	3403	3201	3153	3171	3033
73162	445	440	451	461	450	469
68346	89	69	82	92	87	76
258268	0	0	0	0	0	0
224111	810	644	655	581	704	704
103213	209	278	298	213	222	205
69717	0	0	0	0	0	0
26380	0	0	0	0	0	0
14073	2	0	1	0	0	0
67621	0	0	0	0	0	0
12572	615	571	528	547	583	567
71889	1	0	0	0	0	0
67665	1530	1501	1452	1381	1375	1468
76282	65	58	75	67	49	47
15356	1372	1304	1532	1559	1472	1430
79456	110	167	131	99	108	79
11692	247	293	288	318	297	234
67344	0	0	0	0	0	1
76947	60	65	65	55	80	64
68188	2284	2669	2708	2647	2486	2379
245671	130	124	133	104	129	133
52120	2055	1995	2199	2847	2501	2565
328795	2	1	2	2	1	2
258955	0	0	0	0	0	0
75668	0	1	0	0	0	0
242553	0	0	0	0	0	0
72401	1	1	2	1	1	0
71957	606	701	706	643	598	634
670832	0	1	0	0	0	0
11836	1234	1174	1319	1328	1322	1280
109676	29	31	31	35	26	25
72640	3	14	7	7	6	7
67118	772	709	734	790	724	812
244579	5	0	5	7	11	7
105663	307	310	317	320	327	299
22153	46	67	59	27	45	37
11699	4	5	3	1	3	2
66397	1026	1147	1073	1025	1113	1037
230761	578	568	632	552	487	474
260302	816	890	902	893	791	847
208634	5	2	9	4	1	1
73419	381	391	383	339	380	374
71766	1447	1810	1807	1416	1422	1369
272322	5	5	6	9	8	9
22756	34	38	46	33	41	36
78825	1124	1074	1009	913	1061	950
108657	1447	1428	1719	1664	1536	1411
56299	255	232	221	240	247	229
67122	3	0	1	1	1	3
14158	490	515	471	493	473	467
233186	21	26	27	28	25	21
545938	110	109	114	95	90	90
16399	69	20	45	49	32	25
12294	0	0	0	0	0	0
235379	0	0	1	1	0	0
71746	62	54	62	66	60	67
20607	0	0	0	0	0	1
214444	540	626	587	559	597	561
18441	159	132	140	188	184	184
67886	782	756	721	654	706	692
13590	15	23	29	19	22	22
67025	7441	7584	8376	8320	7219	7181
259300	11	11	6	8	8	11
14375	447	472	420	410	460	414
329993	0	0	0	0	0	0
68073	253	243	213	259	273	251
67442	441	432	423	485	511	507
18081	3691	3239	4227	5906	5465	5117
21414	5	3	3	3	0	2
93714	3	3	11	8	2	3
102636661	1	0	0	0	0	1
77254	754	975	1040	1333	1320	1179
16534	2738	3543	3436	3419	2971	2818
667055	0	1	0	1	0	0
260299	5	1	4	4	1	2
319186	0	2	0	1	1	0
56457	3303	3808	3858	3833	3775	3660
16782	1	0	0	1	3	4
14563	0	0	0	0	0	0
73463	0	0	0	0	0	0
118568637	0	0	1	0	1	0
100017	2391	2383	2463	2725	2671	2670
240888	1	6	3	1	2	2
237823	353	540	433	386	379	388
98752	0	0	1	2	1	1
233065	196	212	242	240	217	204
14133	172	188	192	143	113	126
320237	18	20	26	50	48	44
70495	4952	5213	4501	4983	5297	5292
74400	0	1	0	0	0	2
66977	829	1212	947	587	700	600
192662	17499	20838	20828	20675	19180	18571
625360	120	77	96	77	40	58
19771	0	0	0	0	0	0
353282	22	18	22	25	25	19
319636	173	226	161	90	140	132
27052	1664	1053	1439	1598	1673	1934
17427	85	139	114	63	76	63
240174	278	323	280	251	299	276
378702	5531	5335	6167	6181	5874	5520
56698	728	679	686	557	616	614
81910	5809	5951	5990	5981	6235	6241
227545	2	1	4	2	3	0
97884	359	348	297	269	327	377
18633	204	225	247	265	214	192
18188	1	3	0	1	0	1
15205	2	0	3	0	3	0
665700	6	7	4	3	2	5
69572	86	119	105	128	131	141
14130	2375	1839	2131	1227	1380	1497
380732	2365	2245	2216	1729	1737	1843
22608	12077	14389	14144	12684	13128	12893
66086	775	741	679	580	593	625
52670	0	0	1	0	1	0
14772	37	24	33	23	21	39
14735	2	2	4	2	2	3
53885	279	266	293	227	235	231
67332	609	807	657	538	644	578
213068	572	463	400	357	373	357
18198	0	0	0	0	0	0
329015	826	739	994	990	869	860
75425	496	585	576	507	539	582
74316	354	373	366	357	387	335
66469	468	472	553	467	499	431
22190	22742	20997	24739	28682	25711	27096
241520	8	4	3	4	2	0
12461	4259	4721	4249	4165	4430	4339
14680	34	20	39	28	25	39
224671	640	621	722	722	639	653
16889	20398	17977	19607	24792	24189	26108
72137	166	173	177	161	183	192
67268	4833	5850	5776	5122	5075	4840
17183	0	0	1	0	0	0
14344	0	0	0	0	0	0
12364	11	4	5	5	5	8
13244	4620	4539	4574	5512	5566	5651
102635473	0	0	0	0	0	0
326618	7732	9435	8326	7370	7514	7422
74081	1530	1361	1393	1248	1214	1261
22036	125	219	135	108	106	113
70591	460	420	383	365	433	396
268465	214	330	270	161	168	129
211499	851	816	820	800	740	800
214764	266	284	262	251	266	254
77794	0	0	0	0	0	0
69156	150	179	190	237	255	197
320405	0	0	0	0	1	0
113868	1633	1545	1780	1782	1660	1584
117590	10	15	10	11	5	5
227157	0	0	0	0	0	0
14528	401	378	389	441	456	467
100041734	281	211	223	160	158	190
239096	14	17	16	9	9	11
15078	10209	8983	9766	8774	8135	8571
269275	0	0	1	0	0	0
244059	1292	1156	1176	1135	1212	1104
107932	6806	6754	6966	6541	6379	6605
14686	0	1	0	2	0	0
69226	931	1102	982	924	994	959
56279	8	7	11	10	8	5
545667	0	1	0	0	1	0
60365	1172	1263	1202	973	1003	1005
117606	5	2	7	2	6	4
279029	36	26	25	27	29	28
22070	44711	34217	38045	39780	39972	39684
70428	538	570	533	449	430	460
242425	6	3	10	23	15	13
20168	6847	6554	6302	6136	6541	6693
79202	112	169	137	180	199	177
268379	7	5	11	5	7	7
99709	0	0	0	0	0	0
216829	447	474	478	468	467	443
70701	1	0	1	1	3	0
68145	271	310	251	222	245	224
18799	75	68	87	62	64	62
66797	0	0	0	0	0	0
65100	0	0	0	0	0	0
14938	0	0	0	0	0	0
21855	327	299	426	358	308	283
100503583	34	57	42	11	28	30
244721	155	100	103	111	87	93
11687	14	20	9	17	11	13
223669	97	104	99	87	84	77
22065	0	0	0	0	0	0
17155	2861	2420	2583	1884	1949	1981
66313	757	732	760	673	682	711
66653	172	170	206	202	147	156
21753	569	868	776	693	710	699
226757	7910	7079	6840	6110	6447	6531
225339	1141	1190	1149	1144	1178	1225
64451	791	927	845	841	703	746
207175	49	59	43	34	36	27
22381	1900	2131	1751	1502	1574	1519
209760	0	0	0	0	1	1
26951	501	651	585	507	475	454
19132	1	0	1	2	2	0
22640	100	88	82	91	88	87
72080	84	149	161	86	97	75
22704	287	276	299	279	236	245
329731	8	6	8	6	9	3
209590	0	0	0	0	0	1
80284	450	494	498	507	497	483
70419	7	4	9	10	5	8
67755	1134	1178	1335	1198	1180	1226
20924	2359	2561	2649	2507	2391	2369
59025	1854	2138	1873	1801	1961	1905
319171	0	0	0	0	0	0
380928	1	0	0	0	1	0
232367	1	0	0	0	0	0
68977	444	508	554	509	495	489
330096	0	0	0	0	0	0
381605	384	417	446	432	419	394
23850	1	0	0	0	0	0
407823	770	745	791	690	735	736
109778	2163	2209	2301	2002	2100	2061
56434	1603	1785	1691	1569	1679	1444
268729	0	0	0	2	1	1
54387	700	778	806	720	711	753
109181	935	1004	888	801	864	886
233826	194	224	190	138	144	124
70359	288	328	357	366	345	300
74558	1734	1232	1431	1266	1187	1164
17384	18	33	23	15	20	15
100040018	25	20	12	13	18	12
234371	520	487	539	533	496	528
229512	594	739	727	728	689	627
231798	2333	2302	2568	2607	2266	2421
17110	19232	14542	15994	17264	18311	18399
664883	0	0	1	0	0	0
105244828	0	0	0	17	0	11
70859	3	3	2	4	1	2
108672	41	48	38	22	39	21
224014	3039	2199	2147	1907	1905	1947
11704	0	0	0	0	0	0
244562	1	0	0	1	0	0
104082	1311	1284	1316	1395	1253	1392
94185	1106	1437	1318	1247	1366	1180
75906	0	1	0	0	0	2
12522	1109	731	1040	1058	1070	1061
72429	156	150	157	137	133	144
66707	5	7	6	6	2	1
102640003	0	1	0	0	1	0
14950	2593	2715	2845	3066	2864	2849
329628	0	0	1	3	1	2
328780	3	0	0	0	0	0
242362	542	554	454	423	432	442
70312	575	750	743	615	578	539
117148	0	1	0	1	1	0
66177	1531	1496	1481	1501	1500	1422
69035	1887	1986	1916	1885	1968	1859
73649	1	0	0	2	1	1
102032	213	189	226	233	198	180
93746	0	0	0	0	0	1
71805	778	1038	871	878	771	804
75687	710	961	816	763	680	635
14559	0	0	1	0	0	0
230376	463	563	489	395	400	380
70357	0	0	0	0	0	0
15366	1013	1299	964	649	780	667
68927	550	540	579	595	604	646
20630	716	904	806	879	824	754
72144	740	780	809	650	625	616
67011	512	517	502	462	468	503
107477	4	10	8	18	9	21
225215	733	769	810	724	709	759
13618	139	65	116	80	47	56
233908	4392	5506	4795	4093	4169	3853
235345	0	0	0	0	0	0
22688	462	425	399	373	416	421
26896	679	854	694	607	680	646
89867	2	2	3	3	0	1
75087	0	0	0	0	0	0
218699	1165	1403	1375	1070	1074	1047
103161	4	2	1	5	7	2
245877	3927	4524	4692	4525	4350	4042
11977	1125	1148	1001	904	984	992
67988	2083	1873	1442	1309	1532	1511
66395	24806	24681	23945	16478	16313	16630
53381	1890	2212	1995	1708	1733	1690
244329	276	346	320	263	271	261
13417	5	7	7	2	4	6
434439	0	0	0	0	0	0
69583	964	1003	814	877	951	1092
67246	1238	1141	1059	754	748	736
20354	6262	5390	6386	6436	6229	6497
70285	466	566	502	418	442	451
218454	6052	5796	5795	6638	6417	6707
105247180	0	0	0	0	0	0
241547	125	158	138	125	158	142
210105	129	149	109	93	102	112
102371	1	2	1	0	0	3
330788	387	342	327	335	307	326
208846	477	404	391	403	436	450
114584	10139	11523	10832	10310	10038	9836
30938	2215	1890	2203	1799	1666	1719
69286	0	0	0	0	0	0
237558	0	1	0	0	0	0
57782	148	126	118	124	138	155
27057	5204	3012	4313	4974	4576	4995
12842	92	20	70	133	61	104
665858	0	0	1	1	0	1
71984	165	187	202	179	161	142
68375	1028	1194	1192	1139	1074	1075
11772	3949	3759	4306	3256	3174	3095
30960	2059	2291	2188	1984	2207	2058
320007	0	0	0	0	0	0
224997	1	1	0	0	0	0
193736	143	154	141	164	141	182
11482	970	852	1063	1132	1083	1041
226245	2	0	2	2	0	0
20899	0	0	0	0	1	0
67981	1	2	0	0	0	0
382062	2259	1832	2277	3807	3811	3880
13138	2469	2790	2785	2739	2814	2836
20203	0	2	1	1	1	0
269033	567	662	587	472	475	502
229937	202	214	217	190	201	186
329828	10	4	15	18	13	13
